;temps (s);speed (m/s);power_shaft (W);fuel_cumul (m^3)
281;33915.0;5.199566341422734;193297.84905421635;-0.002533299507263926
282;33915.0;5.249562171628722;199119.00956208835;-0.002557261446633024
283;33915.0;5.2995580018347095;205068.65740451345;-0.0025817164877911867
284;33915.0;5.349553832040698;211148.66717166663;-0.0026066754350246527
285;33915.0;5.399549662246685;217360.927445854;-0.002632149249143768
286;33915.0;5.449545492452673;223707.34080151364;-0.00265814904864264
287;33915.0;5.499541322658661;230189.82380521495;-0.002684686110858797
288;33915.0;5.549537152864649;236810.3070156586;-0.00271177187313284
289;33915.0;5.599532983070636;243570.73498367696;-0.0027394179339681026
290;33915.0;5.649528813276625;250473.06625223404;-0.0027676360541903046
291;33915.0;5.699524643482612;257519.27335642485;-0.002796438158107209
292;33915.0;5.7495204736886;264711.3428234762;-0.002825836334668277
293;33915.0;5.799516303894588;272051.27517274657;-0.0028558428386243266
294;33915.0;5.849512134100576;279541.08491572534;-0.002886470091687186
295;33915.0;5.899507964306563;287182.80055603397;-0.0029177306836893502
296;33915.0;5.949503794512552;294978.46458942525;-0.002949637373743638
297;33915.0;5.999499624718539;302930.133503783;-0.0029822030914028476
298;33915.0;6.049495454924527;311039.87777912314;-0.003015440937819412
299;33915.0;6.099491285130515;319309.7818875929;-0.0030493641869050554
300;33915.0;6.149487115336503;327741.94429347065;-0.00308398628649045
301;33915.0;6.19948294554249;336338.4774531666;-0.003119320859484871
302;33915.0;6.249478775748479;345101.50781522243;-0.0031553817050358536
303;33915.0;6.299474605954466;354033.1758203111;-0.0031921827996888477
304;33915.0;6.349470436160454;363135.63590123714;-0.0032297382985468754
305;33915.0;6.399466266366442;372411.0564829368;-0.0032680625364301863
306;33915.0;6.44946209657243;381861.6199824773;-0.0033071700290359133
307;33915.0;6.499457926778418;391489.52280905785;-0.0033470754740977295
308;33915.0;6.549453756984406;401296.9753640088;-0.003387793752545503
309;33915.0;6.599449587190392;411286.202040792;-0.0034293399296649544
310;33915.0;6.649445417396381;421459.44122500153;-0.0034717292562573116
