time_s;profile_speed_m_per_s;converter_motor_out_W;storage_fuel_tank_v_stock_l
17776.0;7.0;498151.19200000004;308.88140263802785
17777.0;7.0;498151.19200000004;308.8333988476471
17778.0;7.0;498151.19200000004;308.7853950572664
17779.0;7.0;498151.19200000004;308.7373912668856
17780.0;7.0;498151.19200000004;308.6893874765048
17781.0;7.0;498151.19200000004;308.64138368612413
17782.0;7.0;498151.19200000004;308.5933798957434
17783.0;7.0;498151.19200000004;308.54537610536266
17784.0;7.0;498151.19200000004;308.49737231498193
17785.0;7.0;498151.19200000004;308.4493685246012
17786.0;7.0;498151.19200000004;308.4013647342204
17787.0;7.0;498151.19200000004;308.3533609438396
17788.0;7.0;498151.19200000004;308.30535715345894
17789.0;7.0;498151.19200000004;308.2573533630782
17790.0;7.0;498151.19200000004;308.2093495726975
17791.0;7.0;498151.19200000004;308.16134578231674
17792.0;7.0;498151.19200000004;308.113341991936
17793.0;7.0;498151.19200000004;308.0653382015552
17794.0;7.0;498151.19200000004;308.01733441117443
17795.0;7.0;498151.19200000004;307.9693306207938
17796.0;7.0;498151.19200000004;307.921326830413
17797.0;7.0;498151.19200000004;307.8733230400323
17798.0;7.0;498151.19200000004;307.82531924965156
17799.0;7.0;498151.19200000004;307.77731545927077
17800.0;7.0;498151.19200000004;307.72931166889003
17801.0;7.0;498151.19200000004;307.6813078785093
17802.0;7.0;498151.19200000004;307.6333040881286
17803.0;7.0;498151.19200000004;307.58530029774784
17804.0;7.0;498151.19200000004;307.53729650736705
17805.0;7.0;498151.19200000004;307.48929271698637
17806.0;7.0;498151.19200000004;307.4412889266056
17807.0;7.0;498151.19200000004;307.3932851362249
17808.0;7.0;498151.19200000004;307.34528134584417
17809.0;7.0;498151.19200000004;307.29727755546344
17810.0;7.0;498151.19200000004;307.24927376508265
17811.0;7.0;498151.19200000004;307.20126997470186
17812.0;7.0;498151.19200000004;307.1532661843212
17813.0;7.0;498151.19200000004;307.10526239394045
17814.0;7.0;498151.19200000004;307.0572586035597
17815.0;7.0;498151.19200000004;307.009254813179
17816.0;7.0;498151.19200000004;306.96125102279825
17817.0;7.0;498151.19200000004;306.91324723241746
17818.0;7.0;498151.19200000004;306.8652434420367
17819.0;7.0;498151.19200000004;306.81723965165605
17820.0;7.0;498151.19200000004;306.76923586127526
17821.0;7.0;498151.19200000004;306.72123207089453
17822.0;7.0;498151.19200000004;306.6732282805138
17823.0;7.0;498151.19200000004;306.625224490133
17824.0;7.0;498151.19200000004;306.5772206997523
17825.0;7.0;498151.19200000004;306.52921690937154
17826.0;7.0;498151.19200000004;306.48121311899087
17827.0;7.0;498151.19200000004;306.4332093286101
17828.0;7.0;498151.19200000004;306.3852055382293
17829.0;7.0;498151.19200000004;306.3372017478486
17830.0;7.0;498151.19200000004;306.2891979574678
17831.0;7.0;498151.19200000004;306.24119416708714
17832.0;7.0;498151.19200000004;306.19319037670635
17833.0;7.0;498151.19200000004;306.1451865863257
17834.0;7.0;498151.19200000004;306.0971827959449
17835.0;7.0;498151.19200000004;306.0491790055641
17836.0;7.0;498151.19200000004;306.0011752151834
17837.0;7.0;498151.19200000004;305.95317142480263
17838.0;7.0;498151.19200000004;305.90516763442196
17839.0;7.0;498151.19200000004;305.85716384404117
17840.0;7.0;498151.19200000004;305.8091600536605
17841.0;7.0;498151.19200000004;305.7611562632797
17842.0;7.0;498151.19200000004;305.7131524728989
17843.0;7.0;498151.19200000004;305.66514868251824
17844.0;7.0;498151.19200000004;305.6171448921375
17845.0;7.0;498151.19200000004;305.56914110175677
17846.0;7.0;498151.19200000004;305.52113731137604
17847.0;7.0;498151.19200000004;305.47313352099525
17848.0;7.0;498151.19200000004;305.4251297306145
17849.0;7.0;498151.19200000004;305.3771259402337
17850.0;7.0;498151.19200000004;305.3291221498531
17851.0;7.0;498151.19200000004;305.2811183594723
17852.0;7.0;498151.19200000004;305.2331145690915
17853.0;7.0;498151.19200000004;305.18511077871085
17854.0;7.0;498151.19200000004;305.13710698833006
